author;lang;title;keywords_eng;keywords;series;year
doc_256;"Breuss, Fritz";"eng";"WTO dispute settlement from an economic perspective";"WTO dispute settlement / trade policy / CGE model simulations";"World Trade Organization / Handelsvertrag / Streiterledigung / Handelskrieg / Außenhandelspolitik / Wohlfahrtseffekt";"IEF Working Papers / Research Institute for European Affairs";2001;"Since its inception in 1995, more than 200 disputes have been raised under the WTO Dispute Settlement Understanding (DSU). In spite of the obvious numerical success of the DS system of the WTO, in practice several shortcomings call for institutional and/or procedural change. This analysis deals with the economic aspects of the DS system. First, it turns out that the WTO DS system seems to be biased. The larger and richer trading nations (USA, EU) are the main users of this system, either because of the larger involvement in world trade, or because the LDCs simply lack the legal resources. Second, in taking advantage of recent theoretical explanations of the WTO system in general (trade talks) and the DS system in particular (aberrations from WTO compliance can lead to trade wars) one can theoretically derive the relative robust result concerning the present practice of the WTO DS system: retaliation with tariffs is ineffective, distorts allocation and is difficult to control. This is also demonstrated in an CGE model analysis for the most popular disputes between the EU and the USA: the Hormones, the Bananas and the FSC cases. The major conclusion of our economic evaluation is that the DS system of retaliation should be changed towards a transfer-like retaliation system. (author's abstract)";
doc_827;"Zeileis, Achim; Grothendieck, Gabor";"eng";"zoo: an S3 class and methods for indexed totally ordered observations";"totally ordered observations / irregular time series / regular time series / S3 / R";"";"Research Report Series / Department of Statistics and Mathematics";2005;"zoo is an R package providing an S3 class with methods for indexed totally ordered observations, such as irregular time series. Its key design goals are independence of a particular index/time/date class and consistency with base R and the 'ts' class for regular time series. This paper describes how these are achieved within zoo and provides several illustrations of the available methods for 'zoo' objects which include plotting, merging and binding, several mathematical operations, extracting and replacing data and index, coercion and NA handling. A subclass 'zooreg' embeds regular time series into the 'zoo' framework and thus bridges the gap between regular and irregular time series classes in R. (author's abstract)";
doc_481;"Vetschera, Rudolf";"eng";"Strategic manipulation of preference information in multi-criteria group decision methods";"";"Gruppenentscheidung / Informationsverhalten";"Working Papers SFB";2003;"When group decisions involve the allocation of resources to group members, the members might have an incentive to strategically distort any information they provide to increase their share of resources. The paper compares several simple multi-criteria group decision methods with respect to this problem. We show, using a computational model, that strategic manipulation of preference information is possible in all of the methods, although to a different extent. Furthermore, when the true solution generated by this methods is not Pareto-optimal, manipulation attempts might even improve the efficiency of outcomes. (author's abstract)";
doc_a45;"Pötzelberger, Klaus";"eng";"Admissible Unbiased Quantizations: Distributions with Linear Components";"Admissibility / quantization / Bishop-de Leeuw order / dilation / information / majorization / partitions / MSP-partitions";"";"Forschungsberichte / Institut für Statistik";2000;"We show that results on the characterization of admissible quantizations, which have been derived in Potzelberger [3], have to be modified in case the probability distribution has linear components. Furthermore, we provide an example, where the limit of optimal quantizations is not admissible. (author's abstract)";
doc_bd8;"Schauerhuber, Michael; Zeileis, Achim; Meyer, David; Hornik, Kurt";"eng";"Benchmarking Open-Source Tree Learners in R/RWeka";"decision trees / benchmark experiment / R / Weka / open-source software";"";"Research Report Series / Department of Statistics and Mathematics";2007;"The two most popular classification tree algorithms in machine learning and statistics - C4.5 and CART - are compared in a benchmark experiment together with two other more recent constant-fit tree learners from the statistics literature (QUEST, conditional inference trees). The study assesses both misclassification error and model complexity on bootstrap replications of 18 different benchmark datasets. It is carried out in the R system for statistical computing, made possible by means of the RWeka package which interfaces R to the open-source machine learning toolbox Weka. Both algorithms are found to be competitive in terms of misclassification error - with the performance difference clearly varying across data sets. However, C4.5 tends to grow larger and thus more complex trees. (author's abstract)";
doc_403;"Frühwirth-Schnatter, Sylvia; Otter, Thomas; Tüchler, Regina";"eng";"A Fully Bayesian Analysis of Multivariate Latent Class Models with an Application to Metric Conjoint Analysis";"Bayesian analysis / conjoint analysis / latent class models / MCMC methods / model selection";"Bayes-Verfahren / Conjoint Measurement / Latent-Class-Analyse / Markov-Ketten-Monte-Carlo-Verfahren";"Working Papers SFB "Adaptive Information Systems and Modelling in Economics and Management Science"";2002;"In this paper we head for a fully Bayesian analysis of the latent class model with a priori unknown number of classes. Estimation is carried out by means of Markov Chain Monte Carlo (MCMC) methods. We deal explicitely with the consequences the unidentifiability of this type of model has on MCMC estimation. Joint Bayesian estimation of all latent variables, model parameters, and parameters determining the probability law of the latent process is carried out by a new MCMC method called permutation sampling. In a first run we use the random permutation sampler to sample from the unconstrained posterior. We will demonstrate that a lot of important information, such as e.g. estimates of the subject-specific regression coefficients, is available from such an unidentified model. The MCMC output of the random permutation sampler is explored in order to find suitable identifiability constraints. In a second run we use the permutation sampler to sample from the constrained posterior by imposing identifiablity constraints. The unknown number of classes is determined by formal Bayesian model comparison through exact model likelihoods. We apply a new method of computing model likelihoods for latent class models which is based on the method of bridge sampling. The approach is applied to simulated data and to data from a metric conjoint analysis in the Austrian mineral water market. (author's abstract)";
doc_19e;"Stagl, Sigrid";"eng";"Delinking economic growth from environmental degradation?";"economic growth / environmental protection / Environmental Kuznets Curve";"Wirtschaftswachstum / Umweltbelastung / nachhaltige Entwicklung";"Working Papers Series";1999;"The effect of economic growth on environmental quality is much under dispute. A number of empirical studies have made the claim that there exists in some income ranges a positive relation between per capita income and some measure of environmental quality. According to this inverted U-shaped pattern of different pollutants relative to per capita incomes in different countries which is also called the 'Environmental Kuznets Curve' (EKC), environmental pressure increases up to a point as income goes up, after the turning point environmental quality improves as income keeps rising. Possible explanations for this pattern are seen in the progression of economic development, from clean agrarian economies to polluting industrial economies to clean service economies. This trend is enhanced through the transfer of cleaner technology from high-income countries to low-income countries and the tendency of people with higher income having a higher preference for environmental quality. Since this relationship is so fundamental to questions of economic development and sustainability it has provoked a vast load of research over the last seven years supporting but also heavily criticizing the results and conclusions. This paper gives an overview of the literature published on this topic to date and the conceptual, methodological and fundamental critique put forward. (author's abstract)";
doc_163;"Gstach, Dieter";"eng";"Small sample performance of two approaches to technical efficiency estimation in noisy multiple output environments";"stochastic DEA / Ray Frontier Approach / multiple outputs / Monte-Carlo analysis / frontier estimation / efficiency estimation";"DEA / Effizienzmessung";"Department of Economics Working Paper Series / Department of Economics";1998;"This paper provides simulation evidence concerning some statistical properties of two different approaches to technical efficiency estimation for multiple-output production under noisy conditions: The Ray Frontier Approach (RFA) from Löthgren (1997) DEA+ proposed in Gstach (1996). RFA, unlike earlier approaches in the realm of stochastic frontier analysis, is capable of efficiency estimation in the case of multiple outputs as well and lends itself for comparison with DEA+. Several settings with varying sample sizes, noise to signal ratios and mean inefficiencies are investigated. (author's abstract)";
doc_508;"Becker, Joachim; Novy, Andreas";"eng";"Divergence and convergence of national and local regulation";"";"Regionalentwicklung / Regulierung / Österreich / Geschichte 1880-1999";"SRE - Discussion Papers / Department of Urban and Regional Development";1999;"From a regulationist perspective, this paper wants to analyse under which preconditions local and national modes of development can diverge. Taking the modern history of Vienna and Austria as an example, the paper analyses the dialectics of accumulation strategies and national and local state projects. There can be distinguished four relevant historical periods. With regard to the convergence resp. divergence of local and national state projects, the two rather stable and the two rather instable periods stand in marked contrast to each other. The more general conclusion that can be derived from the Viennese experience is that a heterogeneous regional development is only a necessary, but not a sufficient condition for a local state project to diverge from the national one. It seems that popular forces can only establish a counter-project at the local level if the national dominant bloc fails to gain mass acceptance for its ideological dispensation and an emerging counter bloc is able to capitalise on this weakness by formulating its own social project. (authors abstract)";
doc_1ef;"Dolnicar, Sara; Leisch, Friedrich";"eng";"Behavioral market segmentation of binary guest survey data with bagged clustering";"";"Österreich / Marktsegmentierung / Fremdenverkehr / Cluster-Analyse";"Report Series SFB "Adaptive Information Systems and Modelling in Economics and Management Science"";2001;"Binary survey data from the Austrian National Guest Survey conducted in the summer season of 1997 were used to identify behavioral market segments on the basis of vacation activity information. Bagged clustering overcomes a number of difficulties typically encountered when partitioning large binary data sets: The partitions have greater structural stability over repetitions of the algorithm and the question of the correct number of clusters is less important because of the hierarchical step of the cluster analysis. Finally, the bootstrap part of the algorithm provides means for assessing and visualizing segment stability for each input variable. (author's abstract)";
